Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2022,30,Baltimore City,0245,Leith Walk Elementary/Middle,Elementary,87.9,50887.0,57915.0,14.5,69,41.2,196,476,330,643,51.3,20221114
2022,30,Baltimore City,0245,Leith Walk Elementary/Middle,Middle,88.9,38716.5,43541.0,12.7,46,35.5,128,361,177,390,45.4,20221114
2022,30,Baltimore City,0245,Leith Walk Elementary/Middle,All,88.3,89603.5,101456.0,13.7,115,38.7,324,837,507,1033,49.1,20221114
2022,30,Baltimore City,0246,Beechfield Elementary/Middle,Elementary,81.9,31901.0,38943.0,5.2,17,56.5,186,329,289,443,65.2,20221114
2022,30,Baltimore City,0246,Beechfield Elementary/Middle,Middle,80.7,20213.5,25046.0,6.2,13,57.6,121,210,157,236,66.5,20221114
2022,30,Baltimore City,0246,Beechfield Elementary/Middle,All,81.4,52114.5,63989.0,5.6,30,57.0,307,539,446,679,65.7,20221114
2022,30,Baltimore City,0247,Cross Country Elementary/Middle,Elementary,88.1,32079.0,36399.0,13.8,41,37.2,111,298,198,396,50.0,20221114
2022,30,Baltimore City,0247,Cross Country Elementary/Middle,Middle,90.8,28743.5,31659.0,24.2,62,25.8,66,256,93,277,33.6,20221114
2022,30,Baltimore City,0247,Cross Country Elementary/Middle,All,89.4,60822.5,68058.0,18.6,103,31.9,177,554,291,673,43.2,20221114
2022,30,Baltimore City,0248,Sinclair Lane Elementary,Elementary,84.2,21572.0,25632.0,9.0,19,53.8,114,212,185,285,64.9,20221114
2022,30,Baltimore City,0249,Medfield Heights Elementary,Elementary,92.7,32931.5,35507.0,22.4,66,21.4,63,294,115,375,30.7,20221114
2022,30,Baltimore City,0250,"Dr. Bernard Harris, Sr., Elementary",Elementary,77.6,19856.0,25585.0,5.1,11,67.1,145,216,234,315,74.3,20221114
