Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0058,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,Middle,37.2,55,16.9,25,20.3,30,147.8,20221114
2022,30,Baltimore City,0058,Dr. Nathan A. Pitts-Ashburton Elementary/Middle,All,33.5,102,15.8,48,17.8,54,304.2,20221114
2022,30,Baltimore City,0060,Gwynns Falls Elementary,Elementary,29.4,68,12.1,28,17.3,40,231.6,20221114
2022,30,Baltimore City,0061,Dorothy I. Height Elementary,Elementary,24.9,68,12.8,35,12.1,33,272.9,20221114
2022,30,Baltimore City,0062,Park Heights Academy,Elementary,42.0,112,18.4,49,23.6,63,266.5,20221114
2022,30,Baltimore City,0063,Rosemont Elementary/Middle,Elementary,38.8,61,15.9,25,22.9,36,157.3,20221114
2022,30,Baltimore City,0063,Rosemont Elementary/Middle,Middle,37.4,49,16.0,21,21.3,28,131.2,20221114
2022,30,Baltimore City,0063,Rosemont Elementary/Middle,All,38.1,110,15.9,46,22.2,64,288.5,20221114
2022,30,Baltimore City,0064,Liberty Elementary,Elementary,40.1,130,15.7,51,24.4,79,324.4,20221114
2022,30,Baltimore City,0066,Mount Royal Elementary/Middle,Elementary,17.1,51,8.1,24,9.1,27,297.5,20221114
2022,30,Baltimore City,0066,Mount Royal Elementary/Middle,Middle,19.4,91,7.9,37,11.5,54,470.1,20221114
2022,30,Baltimore City,0066,Mount Royal Elementary/Middle,All,18.5,142,7.9,61,10.6,81,767.6,20221114
2022,30,Baltimore City,0067,Edgewood Elementary,Elementary,45.6,61,20.2,27,25.4,34,133.8,20221114
2022,30,Baltimore City,0075,Katherine Johnson Global Academy,Elementary,46.0,71,24.6,38,21.4,33,154.4,20221114
2022,30,Baltimore City,0075,Katherine Johnson Global Academy,Middle,48.8,165,19.5,66,29.3,99,338.4,20221114
2022,30,Baltimore City,0075,Katherine Johnson Global Academy,All,47.9,236,21.1,104,26.8,132,492.8,20221114
2022,30,Baltimore City,0076,Francis Scott Key Elementary/Middle,Elementary,5.4,13,<= 5.0,*,<= 5.0,*,241.8,20221114
2022,30,Baltimore City,0076,Francis Scott Key Elementary/Middle,Middle,11.0,31,<= 5.0,*,8.2,23,281.1,20221114
2022,30,Baltimore City,0076,Francis Scott Key Elementary/Middle,All,8.4,44,<= 5.0,*,6.5,34,522.8,20221114
2022,30,Baltimore City,0081,North Bend Elementary/Middle,Elementary,36.8,107,13.8,40,23.1,67,290.5,20221114
2022,30,Baltimore City,0081,North Bend Elementary/Middle,Middle,21.3,32,10.0,15,11.3,17,150.4,20221114
2022,30,Baltimore City,0081,North Bend Elementary/Middle,All,31.5,139,12.5,55,19.1,84,440.9,20221114
2022,30,Baltimore City,0083,William Paca Elementary,Elementary,48.3,206,20.6,88,27.6,118,426.9,20221114
2022,30,Baltimore City,0084,Thomas Johnson Elementary/Middle,Elementary,7.1,21,<= 5.0,*,<= 5.0,*,295.2,20221114
2022,30,Baltimore City,0084,Thomas Johnson Elementary/Middle,Middle,11.9,19,<= 5.0,*,6.9,11,160.3,20221114
2022,30,Baltimore City,0084,Thomas Johnson Elementary/Middle,All,8.8,40,<= 5.0,*,5.5,25,455.4,20221114
2022,30,Baltimore City,0085,Fort Worthington Elementary/Middle,Elementary,29.9,137,14.8,68,15.1,69,458.2,20221114
2022,30,Baltimore City,0085,Fort Worthington Elementary/Middle,Middle,27.9,73,15.3,40,12.6,33,261.9,20221114
